
002-(45): D_cost: -5.846  Wasserstein_D: 6.583  G_cost: -1.207  
002-(46): D_cost: -5.645  Wasserstein_D: 6.408  G_cost: -0.968  
002-(47): D_cost: -5.855  Wasserstein_D: 6.523  G_cost: -0.022  
002-(48): D_cost: -6.418  Wasserstein_D: 7.239  G_cost: -1.160  
002-(49): D_cost: -5.856  Wasserstein_D: 6.635  G_cost: -1.282  
002-(50): D_cost: -5.603  Wasserstein_D: 6.342  G_cost: -1.376  
002-(51): D_cost: -5.739  Wasserstein_D: 6.590  G_cost: -0.762  
002-(52): D_cost: -6.101  Wasserstein_D: 7.057  G_cost: 0.172  
002-(53): D_cost: -5.739  Wasserstein_D: 6.401  G_cost: -1.233  
002-(54): D_cost: -5.482  Wasserstein_D: 6.201  G_cost: -1.564  
002-(55): D_cost: -5.728  Wasserstein_D: 6.413  G_cost: -0.142  
002-(56): D_cost: -6.090  Wasserstein_D: 6.830  G_cost: -0.563  
002-(57): D_cost: -5.541  Wasserstein_D: 6.143  G_cost: -1.730  
002-(58): D_cost: -5.765  Wasserstein_D: 6.552  G_cost: -2.016  
002-(59): D_cost: -5.758  Wasserstein_D: 6.565  G_cost: -0.428  
002-(60): D_cost: -5.933  Wasserstein_D: 6.694  G_cost: 0.258  
002-(61): D_cost: -5.480  Wasserstein_D: 6.098  G_cost: -0.768  
002-(62): D_cost: -5.560  Wasserstein_D: 6.244  G_cost: -1.833  
002-(63): D_cost: -5.819  Wasserstein_D: 6.583  G_cost: -1.353  
002-(64): D_cost: -5.713  Wasserstein_D: 6.428  G_cost: -0.651  
002-(65): D_cost: -5.593  Wasserstein_D: 6.300  G_cost: -1.022  
002-(66): D_cost: -5.723  Wasserstein_D: 6.513  G_cost: -0.766  
002-(67): D_cost: -5.632  Wasserstein_D: 6.300  G_cost: -1.256  
002-(68): D_cost: -5.547  Wasserstein_D: 6.214  G_cost: -0.417  
002-(69): D_cost: -5.634  Wasserstein_D: 6.361  G_cost: -1.433  
002-(70): D_cost: -5.616  Wasserstein_D: 6.353  G_cost: -0.910  
002-(71): D_cost: -5.545  Wasserstein_D: 6.313  G_cost: -1.291  
002-(72): D_cost: -5.506  Wasserstein_D: 6.262  G_cost: -0.467  
002-(73): D_cost: -5.685  Wasserstein_D: 6.416  G_cost: -0.944  
002-(74): D_cost: -5.391  Wasserstein_D: 6.004  G_cost: -0.521  
002-(75): D_cost: -5.505  Wasserstein_D: 6.171  G_cost: -1.630  
002-(76): D_cost: -5.650  Wasserstein_D: 6.398  G_cost: -1.447  
002-(77): D_cost: -5.407  Wasserstein_D: 6.084  G_cost: -1.507  
002-(78): D_cost: -5.490  Wasserstein_D: 6.160  G_cost: -0.332  
002-(79): D_cost: -5.464  Wasserstein_D: 6.199  G_cost: -0.888  
002-(80): D_cost: -5.444  Wasserstein_D: 6.146  G_cost: -1.563  
002-(81): D_cost: -5.618  Wasserstein_D: 6.382  G_cost: 0.990  
002-(82): D_cost: -5.625  Wasserstein_D: 6.407  G_cost: -1.274  
002-(83): D_cost: -5.477  Wasserstein_D: 6.256  G_cost: -1.553  
002-(84): D_cost: -5.485  Wasserstein_D: 6.260  G_cost: -1.184  
002-(85): D_cost: -5.616  Wasserstein_D: 6.360  G_cost: 0.931  
002-(86): D_cost: -5.473  Wasserstein_D: 6.118  G_cost: -0.552  
002-(87): D_cost: -5.488  Wasserstein_D: 6.180  G_cost: -1.360  
002-(88): D_cost: -5.499  Wasserstein_D: 6.211  G_cost: -0.114  
002-(89): D_cost: -5.503  Wasserstein_D: 6.177  G_cost: -1.272  
002-(90): D_cost: -5.346  Wasserstein_D: 6.064  G_cost: -1.801  
